USPS,GEOID,ANSICODE,NAME,Countym,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
NM,35041,1702369,Roosevelt County,"Roosevelt County, NM",6335242828,18679735,2446.051,7.212,34.021207,-103.483004
NM,35043,929113,Sandoval County,"Sandoval County, NM",9609141717,10852111,3710.111,4.19,35.685091,-106.883119
NM,35045,936844,San Juan County,"San Juan County, NM",14289491641,54966780,5517.204,21.223,36.511624,-108.324578
NM,35047,929114,San Miguel County,"San Miguel County, NM",12228666254,51380263,4721.515,19.838,35.476859,-104.803519
NM,35049,933322,Santa Fe County,"Santa Fe County, NM",4947856149,2648084,1910.378,1.022,35.51453,-105.963972
NM,35051,1702370,Sierra County,"Sierra County, NM",10829248654,147675972,4181.196,57.018,33.119468,-107.188161
NM,35053,1702371,Socorro County,"Socorro County, NM",17214061650,4843011,6646.387,1.87,33.991658,-106.939136
NM,35055,933056,Taos County,"Taos County, NM",5704119383,3383128,2202.373,1.306,36.576529,-105.637986
NM,35057,929112,Torrance County,"Torrance County, NM",8664061332,2316559,3345.213,0.894,34.554978,-105.890557
NM,35059,929115,Union County,"Union County, NM",9906866302,15466855,3825.063,5.972,36.488085,-103.475723
NM,35061,933052,Valencia County,"Valencia County, NM",2762854204,2760089,1066.744,1.066,34.71684,-106.806582
NV,32001,858638,Churchill County,"Churchill County, NV",12821785223,190748448,4950.519,73.648,39.53771,-118.264166
NV,32003,863600,Clark County,"Clark County, NV",20439276974,438416032,7891.649,169.273,36.214257,-115.013812
NV,32005,858643,Douglas County,"Douglas County, NV",1838170319,72317573,709.722,27.922,38.905129,-119.609019
NV,32007,857664,Elko County,"Elko County, NV",44479019136,74784739,17173.446,28.875,41.141133,-115.351424
NV,32009,858641,Esmeralda County,"Esmeralda County, NV",9277049964,18552010,3581.889,7.163,37.778966,-117.632382
NV,32011,858640,Eureka County,"Eureka County, NV",10814982421,11058701,4175.688,4.27,39.977788,-116.272208
NV,32013,863310,Humboldt County,"Humboldt County, NV",24969533319,44196978,9640.791,17.065,41.407914,-118.127591
NV,32015,863368,Lander County,"Lander County, NV",14294783154,662270,5519.247,0.256,39.90021,-117.04724
NV,32017,863992,Lincoln County,"Lincoln County, NV",27540342245,9802713,10633.386,3.785,37.634605,-114.863037
NV,32019,858645,Lyon County,"Lyon County, NV",5183173264,59602530,2001.234,23.013,39.022213,-119.197425
NV,32021,858644,Mineral County,"Mineral County, NV",9719815181,155746679,3752.842,60.134,38.516647,-118.416279
NV,32023,863599,Nye County,"Nye County, NV",47090939040,43207981,18181.914,16.683,37.965864,-116.459011
NV,32027,858646,Pershing County,"Pershing County, NV",15634691964,79934815,6036.589,30.863,40.439639,-118.409477
NV,32029,858642,Storey County,"Storey County, NV",683680818,1881020,263.971,0.726,39.438385,-119.524646
NV,32031,858608,Washoe County,"Washoe County, NV",16358779479,582737537,6316.16,224.996,40.73132,-119.663269
NV,32033,858615,White Pine County,"White Pine County, NV",23016356483,23426584,8886.665,9.045,39.418234,-114.900605
NV,32510,863219,Carson City,"Carson City, NV",374670880,32586219,144.661,12.582,39.15306,-119.747368
UT,49001,1448015,Beaver County,"Beaver County, UT",6689681828,5298466,2582.901,2.046,38.357535,-113.238948
UT,49003,1455966,Box Elder County,"Box Elder County, UT",14881016779,2547651538,5745.593,983.654,41.276061,-113.126226
UT,49005,1448017,Cache County,"Cache County, UT",3016638914,21097697,1164.731,8.146,41.734117,-111.745399
UT,49007,1448018,Carbon County,"Carbon County, UT",3831067717,15844443,1479.184,6.118,39.673284,-110.588484
UT,49009,1448019,Daggett County,"Daggett County, UT",1805185914,61230034,696.986,23.641,40.890099,-109.505785
UT,49011,1448020,Davis County,"Davis County, UT",774573895,870620486,299.065,336.148,41.037559,-112.201943
UT,49013,1448021,Duchesne County,"Duchesne County, UT",8379502732,38797805,3235.344,14.98,40.289393,-110.429584
UT,49015,1448022,Emery County,"Emery County, UT",11557242836,24843848,4462.277,9.592,39.009025,-110.7211
UT,49017,1448023,Garfield County,"Garfield County, UT",13403572592,85610782,5175.149,33.055,37.831664,-111.450908
UT,49019,1448024,Grand County,"Grand County, UT",9512361695,31552270,3672.744,12.182,38.974326,-109.57345
UT,49021,1448025,Iron County,"Iron County, UT",8537474393,11390956,3296.337,4.398,37.909304,-113.30674
UT,49023,1455158,Juab County,"Juab County, UT",8784407524,36542088,3391.679,14.109,39.71412,-112.790471
UT,49025,1448026,Kane County,"Kane County, UT",10333912584,306169204,3989.946,118.213,37.275089,-111.815329
UT,49027,1448027,Millard County,"Millard County, UT",17574363583,133311812,6785.5,51.472,38.956744,-113.133092
UT,49029,1448028,Morgan County,"Morgan County, UT",1577739404,4437369,609.169,1.713,41.091027,-111.577885
UT,49031,1448029,Piute County,"Piute County, UT",1964345824,20285697,758.438,7.832,38.335881,-112.129375
UT,49033,1448030,Rich County,"Rich County, UT",2664700960,149106532,1028.847,57.57,41.627598,-111.240227
UT,49035,1448031,Salt Lake County,"Salt Lake County, UT",1921943552,164903045,742.067,63.669,40.667883,-111.92424
UT,49037,1448032,San Juan County,"San Juan County, UT",20253296804,293696059,7819.842,113.397,37.602633,-109.791574
UT,49039,1448033,Sanpete County,"Sanpete County, UT",4117901464,32049371,1589.931,12.374,39.382531,-111.572883
UT,49041,1448034,Sevier County,"Sevier County, UT",4948000018,20260738,1910.434,7.823,38.746824,-111.81193
UT,49043,1448035,Summit County,"Summit County, UT",4844777278,26617166,1870.579,10.277,40.87206,-110.968486
UT,49045,1448036,Tooele County,"Tooele County, UT",17979556883,891073714,6941.946,344.045,40.467753,-113.123979
UT,49047,1448037,Uintah County,"Uintah County, UT",11609319514,56115726,4482.384,21.666,40.125887,-109.517748
UT,49049,1448038,Utah County,"Utah County, UT",5190511352,363000373,2004.068,140.155,40.120425,-111.668508
UT,49051,1448039,Wasatch County,"Wasatch County, UT",3048454179,79128329,1177.015,30.552,40.334884,-111.161568
UT,49053,1448040,Washington County,"Washington County, UT",6287037025,7781671,2427.439,3.005,37.262531,-113.4878
UT,49055,1448041,Wayne County,"Wayne County, UT",6374011496,15049641,2461.02,5.811,38.25984,-110.990877
UT,49057,1448042,Weber County,"Weber County, UT",1492536927,216443479,576.272,83.569,41.270325,-111.876883
